         849118 function calls (847173 primitive calls) in 215.035 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       90    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/base.py:41(shape)
       68    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:5695(_maybe_cast_indexer)
      188    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1663(dtype)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
       26    0.000    0.000    0.008    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:3483(_getitem_bool_array)
       65    0.000    0.000    0.035    0.001 {method 'extend' of 'list' objects}
       27    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:4728(equals)
       53    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      354    0.000    0.000    0.001    0.000 /usr/lib/python3.8/json/encoder.py:413(_iterencode)
      387    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:158(blknos)
       38    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1569(from_array)
       52    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:825(<listcomp>)
       38    0.000    0.000    0.010    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/ops/common.py:54(new_method)
      744    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      265    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:292(<genexpr>)
