         910295 function calls (908100 primitive calls) in 3.142 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       65    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:814(pop_fields)
      464    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:1194(_set_as_cached)
      296    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:233(__next)
     1082    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      154    0.000    0.000    0.011    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/metadata.py:36(<genexpr>)
      910    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:790(_validate_key_length)
      519    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      455    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/common.py:297(is_null_slice)
      992    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/common.py:346(apply_if_callable)
     1410    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      727    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/inference.py:321(is_hashable)
     2720    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:300(<genexpr>)
      489    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ontology/ontology.py:41(convert_xml_value)
     1977    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
     1970    0.000    0.000    0.000    0.000 {built-in method math.ceil}
      512    0.000    0.000    0.000    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
    25/10    0.000    0.000    0.004    0.000 /usr/lib/python3.8/sre_parse.py:435(_parse_sub)
      512    0.000    0.000    0.001    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:94(__enter__)
        1    0.000    0.000    0.007    0.007 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/ImzMLParser.py:191(__fix_offsets)
      910    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexers.py:66(is_list_like_indexer)
       52    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1926(new_block)
      910    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1480(<genexpr>)
       11    0.000    0.000    0.008    0.001 /usr/lib/python3.8/re.py:289(_compile)
      561    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       36    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
      544    0.000    0.000    0.000    0.000 <string>:1(__new__)
      455    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:780(axes)
     1697    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1619(_block)
       32    0.000    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/ops/array_ops.py:229(comparison_op)
       32    0.000    0.000    0.007    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:3521(take)
       90    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:32(seterr)
      455    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:133(iloc)
       21    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:276(_optimize_charset)
       32    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/range.py:434(take)
      175    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1578(_is_dtype_type)
      567    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      848    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:803(_normalize_key)
       32    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/array_algos/take.py:517(_take_preprocess_indexer_and_fill_value)
        2    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      293    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      231    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:254(get)
     1368    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_integer}
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
     1037    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_scalar}
      526    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       65    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:169(replace_ellipsis)
       77    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:289(normalize_storage_path)
     14/9    0.000    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:375(__new__)
       65    0.000    0.000    0.331    0.005 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1215(set_basic_selection)
       32    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexers.py:439(check_array_indexer)
      648    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/metadata.py:182(<genexpr>)
      585    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      555    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
      512    0.000    0.000    0.000    0.000 {method '__exit__' of '_multiprocessing.SemLock' objects}
       38    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
       32    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
       44    0.000    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/ops/array_ops.py:138(_na_arithmetic_op)
      746    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       90    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:132(geterr)
       12    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       77    0.000    0.000    0.047    0.001 {method 'extend' of 'list' objects}
       65    0.000    0.000    0.331    0.005 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1593(_set_basic_selection_nd)
       32    0.000    0.000    0.006    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:840(take)
       65    0.000    0.000    0.332    0.005 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1133(__setitem__)
       44    0.000    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:2916(_construct_result)
       32    0.000    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/array_algos/take.py:111(_take_nd_ndarray)
      816    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       65    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      135    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:160(is_object_dtype)
      108    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/base.py:41(shape)
      999    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
       33    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:4728(equals)
       32    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:950(take)
     1370    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_iterator}
       80    0.000    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:3317(get_loc)
